reference_strategy,strategy,metric,mean_difference,difference_std,difference_ci95,mean_relative_pct,relative_pct_std,relative_pct_ci95,win_share,n_pairs
instantaneous,average,total_hydrogen_g,6.851364198026476,0.9029746421715351,0.559669481572966,0.5827041303130398,0.07797099136080766,0.0483269211278069,0.0,10
instantaneous,average,hydrogen_g_per_net_kwh,0.3917213795117306,0.05352196600691229,0.03317325821666222,0.5827041303130366,0.07797099136081019,0.04832692112780846,0.0,10
instantaneous,average,energy_weighted_efficiency_lhv_pct,-0.2585351465929634,0.033890691764801875,0.02100566838127514,-0.5792745762831137,0.07709015274420156,0.0477809716970235,1.0,10
instantaneous,average,total_stack_state_changes,-19.6,5.399588461684424,3.346699601431569,-90.06893106893106,3.0666802580793644,1.9007481163167395,1.0,10
instantaneous,average,total_evaluated_objective_g,4.516259465284497,0.6413422584739962,0.39750805011287343,0.3814978943893813,0.03918498751459013,0.02428710688374758,0.0,10
instantaneous,daisy_chain,total_hydrogen_g,181.38077142203764,16.607027975486485,10.293142579459753,15.38515052737338,0.860760820576553,0.5335050838768575,0.0,10
instantaneous,daisy_chain,hydrogen_g_per_net_kwh,10.336893880429148,0.5498283310408935,0.3407871302429432,15.385150527373375,0.8607608205765481,0.5335050838768544,0.0,10
instantaneous,daisy_chain,energy_weighted_efficiency_lhv_pct,-5.952133785219187,0.3159021851643063,0.19579820289691827,-13.329381701923499,0.6484522029658969,0.40191483936470135,1.0,10
instantaneous,daisy_chain,total_stack_state_changes,9.1,7.078135347674555,4.38707373997748,53.0975690975691,50.187174523960785,31.106333041522188,0.1,10
instantaneous,daisy_chain,total_evaluated_objective_g,182.4649271908107,17.137747461767177,10.622085925014924,15.441010154760372,0.8849115132168601,0.5484738382564085,0.0,10
instantaneous,sticky,total_hydrogen_g,3.6823223548881288,0.899889557729635,0.5577573264253366,0.3159897671402376,0.08915375696298111,0.055258071056966784,0.0,10
instantaneous,sticky,hydrogen_g_per_net_kwh,0.21228962271916602,0.059414379866775856,0.03682541416451079,0.3159897671402382,0.08915375696298494,0.055258071056969164,0.0,10
instantaneous,sticky,energy_weighted_efficiency_lhv_pct,-0.14064123135420417,0.03994676258928251,0.024759259966699056,-0.3149235483787149,0.08860175468356826,0.054915936499563126,1.0,10
instantaneous,sticky,total_stack_state_changes,-19.6,5.399588461684424,3.346699601431569,-90.06893106893106,3.0666802580793644,1.9007481163167395,1.0,10
instantaneous,sticky,total_evaluated_objective_g,1.3472176221461496,0.5430573524375407,0.3365904342254705,0.11536627183490826,0.050147673237752724,0.03108184989067715,0.0,10
instantaneous,one_step_greedy,total_hydrogen_g,3.6823223548881288,0.899889557729635,0.5577573264253366,0.3159897671402376,0.08915375696298111,0.055258071056966784,0.0,10
instantaneous,one_step_greedy,hydrogen_g_per_net_kwh,0.21228962271916602,0.059414379866775856,0.03682541416451079,0.3159897671402382,0.08915375696298494,0.055258071056969164,0.0,10
instantaneous,one_step_greedy,energy_weighted_efficiency_lhv_pct,-0.14064123135420417,0.03994676258928251,0.024759259966699056,-0.3149235483787149,0.08860175468356826,0.054915936499563126,1.0,10
instantaneous,one_step_greedy,total_stack_state_changes,-19.6,5.399588461684424,3.346699601431569,-90.06893106893106,3.0666802580793644,1.9007481163167395,1.0,10
instantaneous,one_step_greedy,total_evaluated_objective_g,1.3472176221461496,0.5430573524375407,0.3365904342254705,0.11536627183490826,0.050147673237752724,0.03108184989067715,0.0,10
instantaneous,break_even_hysteresis,total_hydrogen_g,2.288589435352674,0.6240728910191327,0.38680438527095373,0.19684747997200852,0.06149047753647368,0.03811219283162855,0.0,10
instantaneous,break_even_hysteresis,hydrogen_g_per_net_kwh,0.1322043714592837,0.04097428246550941,0.02539612338409343,0.19684747997200996,0.06149047753647936,0.03811219283163207,0.0,10
instantaneous,break_even_hysteresis,energy_weighted_efficiency_lhv_pct,-0.08774955253357106,0.027605159212536246,0.01710985494350616,-0.19642691936836265,0.06125458850658599,0.03796598729616799,1.0,10
instantaneous,break_even_hysteresis,total_stack_state_changes,-9.4,4.115013163202924,2.550511582669903,-43.28313353313353,14.19317244057991,8.797019418609619,1.0,10
instantaneous,break_even_hysteresis,total_evaluated_objective_g,1.168692267609049,0.6402323958709506,0.3968201501446419,0.10101476332389248,0.05848231541819455,0.036247714634127966,0.0,10
instantaneous,offline_dp,total_hydrogen_g,0.8337910073768626,0.38734866574369775,0.24008119034595554,0.07150677300039995,0.035680787787633464,0.022115181391136236,0.0,10
instantaneous,offline_dp,hydrogen_g_per_net_kwh,0.04803206552800106,0.02378416283466895,0.014741576852384607,0.07150677300039511,0.0356807877876331,0.022115181391136014,0.0,10
instantaneous,offline_dp,energy_weighted_efficiency_lhv_pct,-0.03191131207778426,0.016034016229614093,0.00993798621983443,-0.07144424939087159,0.03561248313492912,0.022072845728779066,1.0,10
instantaneous,offline_dp,total_stack_state_changes,-9.4,4.115013163202924,2.550511582669903,-43.28313353313353,14.19317244057991,8.797019418609619,1.0,10
instantaneous,offline_dp,total_evaluated_objective_g,-0.2861061603667622,0.15611392545950417,0.09676041346866919,-0.02402828622025279,0.01248029910465538,0.0077353695259707415,1.0,10
