block_id,relative_path,size_bytes,sha256
external_2025-06_s1,2025-06\21UBE0022_苏E02625F-2025-06-10.csv,16334968,bd51dcfa2de00cfb89966209012af99c6148dcbc71da8f33ac40155f5cdf66db
external_2025-06_s2,2025-06\21UBE0022_苏E02625F-2025-06-12.csv,15826512,558bbfdc6993953e14e4f355772a7ecccec869289118abe77005c9f69098c970
external_2025-06_s3,2025-06\21UBE0022_苏E02625F-2025-06-28.csv,11581689,63d38633ca703ad0a9aa4396201e0db6dd081df3c48337f2ed6a927a94a65f92
external_2025-07_s1,2025-07\21UBE0022_苏E02625F-2025-07-02.csv,15963982,9cc44795edc67a021047520418c5f9c6d028d1496c4a5540646ff019a2514151
external_2025-07_s2,2025-07\21UBE0022_苏E02625F-2025-07-12.csv,16123150,087a0d71a2c281e1bfaa4dda7d9b3a0751593afd4bc998fe36816f4d415acefe
external_2025-07_s3,2025-07\21UBE0022_苏E02625F-2025-07-23.csv,4688378,4704d40a5545f634173ef2548d30c4e03fd7494ed78dd736825af61fff3d9d7c
external_2025-08_s1,2025-08\21UBE0022_苏E02625F-2025-08-02.csv,6094869,5dee8edfeec80a8d185cd1545de590b8683c3cba0061b9fcaf87e41d2be7f55f
external_2025-08_s2,2025-08\21UBE0022_苏E02625F-2025-08-12.csv,14243734,58cd0428a5e2641fdf89bd8c9ec0f2808944ea3e14178c099054696ca2320826
external_2025-08_s3,2025-08\21UBE0022_苏E02625F-2025-08-22.csv,15593816,d68946ee5520c53b809042cca095ac157720fb5a3f20728f1ee5c197b99dade2
external_2025-09_s1,2025-09\21UBE0022_苏E02625F-2025-09-02.csv,17862001,f30f0c4c34677a06282e4a2acb82d3dcaec0b47e426fc297e1fba225254fdf77
external_2025-09_s2,2025-09\21UBE0022_苏E02625F-2025-09-12.csv,9209977,915cf5d48a14255c02157fa973e5898068c83a3a22b6adb392ea544cc206f776
external_2025-09_s3,2025-09\21UBE0022_苏E02625F-2025-09-22.csv,15516615,8a5f9eebf084a7eeb33e0d624ef79ad8beec9ff30166d726a716d4f234b8cd57
external_2025-10_s1,2025-10\21UBE0022_苏E02625F-2025-10-02.csv,15607998,9b94cb35dc7431050efe745e477c22ab9d42a9293d4d7ab1be04329b8505ad44
external_2025-10_s2,2025-10\21UBE0022_苏E02625F-2025-10-18.csv,10180586,3ceffb1def027b53eae4d5f8b8f3e86de4e37d29c2a4cf7bcb1b52cfdf56667e
external_2025-10_s3,2025-10\21UBE0022_苏E02625F-2025-10-22.csv,15535693,597376f90e7348f00516ef8b8744eb5849b5b2d216ce83242ebc112d5dfb7565
external_2025-11_s1,2025-11\21UBE0022_苏E02625F-2025-11-02.csv,15732833,e65973991f7d5c620fabbc8f5f1949a1ae54795f4b519189c5292c6729767630
external_2025-11_s2,2025-11\21UBE0022_苏E02625F-2025-11-12.csv,15150663,a1cf02a531a7851ce8cae5f508e32a9d32296f300d83dd329d147cb84bd7a0d3
external_2025-11_s3,2025-11\21UBE0022_苏E02625F-2025-11-22.csv,17825480,b93c38e33603bda5f7482a8e0989c06ccb8317f58724797a66224171d2b94060
external_2025-12_s1,2025-12\21UBE0022_苏E02625F-2025-12-02.csv,21146383,45f57226ba8a2663d2875cd73fa82ceb6fa5705a7e356ff0f2012a3b4b1cb1fc
external_2025-12_s2,2025-12\21UBE0022_苏E02625F-2025-12-12.csv,19242207,a64e2c229ea3b57a070c15d04706da65a4f434a97e382f0ea4e44db25606feb3
external_2025-12_s3,2025-12\21UBE0022_苏E02625F-2025-12-22.csv,20896125,d898dd182d8560babe93dc0b72901f8b3c426554fd49c244639494dcd03bbcde
external_2026-01_s1,2026-01\21UBE0022_苏E02625F-2026-01-02.csv,20995538,ce667caa7127676a1276e8dadabfca8fdf6f100f2eaab2629d07f2f5d87c2d95
external_2026-01_s2,2026-01\21UBE0022_苏E02625F-2026-01-12.csv,17825776,be6e6ca9b4f66dce731861005d686715e040dd3f8e5c11a25feacc450f16f6d7
external_2026-01_s3,2026-01\21UBE0022_苏E02625F-2026-01-22.csv,32985311,50644013907510fedbe7f0c194a9ca0a7e437f0339c6b5a6b27afcceef5650aa
external_2026-02_s1,2026-02\21UBE0022_苏E02625F-2026-02-02.csv,19363728,0fe23c72415ad0a44376e0033f9a8334fb68d816cfb938272fd6c1f4f66e2b35
external_2026-02_s2,2026-02\21UBE0022_苏E02625F-2026-02-11.csv,18977671,e59bea0703a87a2efb6e7e637d7280231a0a4ee453772036c64ff785b30ef0a8
external_2026-02_s3,2026-02\21UBE0022_苏E02625F-2026-02-20.csv,13804477,47bddf70dfe32fbf3322a63316a018b758fb91797e40d5273ac16804d9f4419a
external_2026-03_s1,2026-03\21UBE0022_苏E02625F-2026-03-02.csv,18722593,61ee2c752e5c81f5ad4753047200de26e4d560273b5cc539f4222c0e08b0672a
external_2026-03_s2,2026-03\21UBE0022_苏E02625F-2026-03-12.csv,20029471,93652e4ce140f36703961bb613b9dae61bc4db0f6fde04f58e0ca5ea2a275bb4
external_2026-03_s3,2026-03\21UBE0022_苏E02625F-2026-03-22.csv,20789990,2e44966bb29111922ebd67d723003d6427169b57b481700bbfd4991d3fb7f7eb
external_2026-04_s1,2026-04\21UBE0022_苏E02625F-2026-04-02.csv,20971034,3c0e6c198e67c734c27f706e3e8ae96e31e236193acd6f614c64fb40ba09452b
external_2026-04_s2,2026-04\21UBE0022_苏E02625F-2026-04-12.csv,18098483,a1569a0ddd379ad90f96ec415ba511345681eddf6ae9824213d625142669ac26
external_2026-04_s3,2026-04\21UBE0022_苏E02625F-2026-04-22.csv,19467996,37a737a921cb3c009b45425ecefd3ad56d1285d9f633f5f73c96975fb30f0e37
external_2026-05_s1,2026-05\21UBE0022_苏E02625F-2026-05-02.csv,21896371,d92a41322edd606d1045c8a63009473e4ed4b659345b02b016bc6d57f26ee55a
external_2026-05_s2,2026-05\21UBE0022_苏E02625F-2026-05-12.csv,19655601,08efd4ac389189da093f025cf5338d583936aabd3cef8a063e4a49491eb5d951
external_2026-05_s3,2026-05\21UBE0022_苏E02625F-2026-05-22.csv,21415744,0892f8daa0a05bbbd41633ccd96773b20bf4dcc77c7700edf4ef3cbf28613f63
external_2026-06_s1,2026-06\21UBE0022_苏E02625F-2026-06-02.csv,17683971,d9b334b06c92dccb80cbca15e8241d6f8f2ca415fec585774149418ae9f7ac38
external_2026-06_s2,2026-06\21UBE0022_苏E02625F-2026-06-12.csv,21152730,a2de8a63eabb3b80b858f77e0dfed98a9c45da3f97d8dd5efc5ee24f9a4867bc
external_2026-06_s3,2026-06\21UBE0022_苏E02625F-2026-06-22.csv,19231118,3113ddd6eea6e037faf1320c96cbe408ccc3dea81630ecde1431bd82e0780203
