boundary_id,boundary_label,boundary_order,boundary_over_calibration,scenario_id,policy,seeds,first_gain_change_vs_lzw_mean_h,first_gain_change_vs_lzw_ci95_low_h,first_gain_change_vs_lzw_ci95_high_h,second_gain_change_vs_lzw_mean_h,second_gain_change_vs_lzw_ci95_low_h,second_gain_change_vs_lzw_ci95_high_h
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,order_blend_50,20,537.85,426.99977205499243,632.2538302291241,130.05,89.85,177.36383948787244
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_2,order_blend_50,20,208.35,171.7,251.1526314161136,2.25,-28.85,32.1
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_3,order_blend_50,20,1140.8,1047.964752901964,1228.1333563829796,192.15,100.20769263891691,250.8
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,reference,order_blend_50,20,980.5,860.1121356003014,1080.0942207342869,631.3,566.9,692.45
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_2,order_blend_50,20,677.9,615.4,752.6982210066313,32.0,-13.4,74.65
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_3,order_blend_50,20,2135.3,2029.959620369304,2240.2,857.15,738.0900501383592,951.8745492138835
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,reference,order_blend_50,20,1062.3,938.7665502799557,1165.7,711.45,648.7310516475407,777.737817631114
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_2,order_blend_50,20,734.95,669.9,808.4837486413714,22.45,-40.60050861215047,78.85
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_3,order_blend_50,20,2292.95,2187.8220992892907,2402.6606301857078,919.65,810.0448823316806,1026.9224816862763
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,guarded_blend,20,537.85,429.85,630.5724381056084,130.05,89.55,176.28153468902428
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_2,guarded_blend,20,208.35,172.3411090190002,250.2341832528782,2.25,-29.15,32.356221208555965
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_3,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,reference,guarded_blend,20,980.5,856.6477269022889,1080.281450489513,631.3,568.2378743739483,691.684439881309
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_2,guarded_blend,20,677.9,615.9419167652616,753.3187963384039,32.0,-13.689318080272828,74.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_3,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,reference,guarded_blend,20,1062.3,937.5291358277346,1168.9074207454169,711.45,648.7999351513338,779.25
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_2,guarded_blend,20,734.95,669.75,807.6235504134364,22.45,-40.4,78.35
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_3,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0
