load_source,load_seed,health_seed,strategies,runs
empirical_1s,2026,32026,3,3
empirical_1s,2027,32027,3,3
empirical_1s,2028,32028,3,3
empirical_1s,2029,32029,3,3
empirical_1s,2030,32030,3,3
empirical_1s,2031,32031,3,3
empirical_1s,2032,32032,3,3
empirical_1s,2033,32033,3,3
empirical_1s,2034,32034,3,3
empirical_1s,2035,32035,3,3
zuo_fast_30s,2026,32026,3,3
zuo_fast_30s,2027,32027,3,3
zuo_fast_30s,2028,32028,3,3
zuo_fast_30s,2029,32029,3,3
zuo_fast_30s,2030,32030,3,3
zuo_fast_30s,2031,32031,3,3
zuo_fast_30s,2032,32032,3,3
zuo_fast_30s,2033,32033,3,3
zuo_fast_30s,2034,32034,3,3
zuo_fast_30s,2035,32035,3,3
zuo_slow_30s,2026,32026,3,3
zuo_slow_30s,2027,32027,3,3
zuo_slow_30s,2028,32028,3,3
zuo_slow_30s,2029,32029,3,3
zuo_slow_30s,2030,32030,3,3
zuo_slow_30s,2031,32031,3,3
zuo_slow_30s,2032,32032,3,3
zuo_slow_30s,2033,32033,3,3
zuo_slow_30s,2034,32034,3,3
zuo_slow_30s,2035,32035,3,3
