scenario_id,rate_ratio,rate_bounded_source
reference,1.1,order_blend_50
initial_stagger_perm_1,1.1,fixed_pair
initial_stagger_perm_2,1.1,order_blend_50
initial_stagger_perm_3,1.1,fixed_pair
initial_stagger_perm_4,1.1,fixed_pair
initial_stagger_perm_5,1.1,fixed_pair
initial_zuo_one_aged_stack_0,1.1,fixed_pair
initial_zuo_one_aged_stack_1,1.1,fixed_pair
initial_zuo_one_aged_stack_2,1.1,order_blend_50
initial_equal_fresh,1.1,fixed_pair
initial_equal_midlife,1.1,fixed_pair
heterogeneity_current_perm_1,1.1,fixed_pair
heterogeneity_current_perm_2,1.1,order_blend_50
heterogeneity_current_perm_3,1.1,fixed_pair
heterogeneity_current_perm_4,1.1,fixed_pair
heterogeneity_current_perm_5,1.1,fixed_pair
heterogeneity_identical,1.0,fixed_pair
heterogeneity_gp_re_low_perm_0,1.1892757093579867,fixed_pair
heterogeneity_gp_re_low_perm_1,1.1892757093579867,fixed_pair
heterogeneity_gp_re_base_perm_0,1.4753867733506534,fixed_pair
heterogeneity_gp_re_base_perm_1,1.4753867733506534,fixed_pair
heterogeneity_gp_re_high_perm_0,2.421813377849383,fixed_pair
heterogeneity_gp_re_high_perm_1,2.421813377849383,fixed_pair
heterogeneity_gp_re_high_perm_2,2.421813377849383,fixed_pair
heterogeneity_gp_re_high_perm_3,2.421813377849383,fixed_pair
heterogeneity_gp_re_high_perm_4,2.421813377849383,fixed_pair
heterogeneity_gp_re_high_perm_5,2.421813377849383,fixed_pair
heterogeneity_gp_re_increased_perm_0,3.5889140262905017,fixed_pair
heterogeneity_gp_re_increased_perm_1,3.5889140262905017,fixed_pair
heterogeneity_gp_re_increased_perm_2,3.5889140262905017,fixed_pair
heterogeneity_gp_re_increased_perm_3,3.5889140262905017,fixed_pair
heterogeneity_gp_re_increased_perm_4,3.5889140262905017,fixed_pair
heterogeneity_gp_re_increased_perm_5,3.5889140262905017,fixed_pair
boundary_scale_0.80,1.1,order_blend_50
boundary_scale_1.20,1.1,order_blend_50
gamma_cv_0.05,1.1,order_blend_50
gamma_cv_0.20,1.1,order_blend_50
risk_horizon_24h,1.1,order_blend_50
risk_horizon_240h,1.1,order_blend_50
reschedule_12h,1.1,order_blend_50
reschedule_48h,1.1,order_blend_50
