gamma_terminal_cv,policy,seed,time_gain_vs_fixed_h
0.05,expected_max,2026,326.0
0.05,expected_max,2027,323.0
0.05,expected_max,2028,325.0
0.05,expected_max,2029,323.0
0.05,expected_max,2030,329.0
0.05,expected_max,2031,326.0
0.05,expected_max,2032,318.0
0.05,expected_max,2033,377.0
0.05,expected_max,2034,299.0
0.05,expected_max,2035,351.0
0.05,gamma_cvar,2026,326.0
0.05,gamma_cvar,2027,324.0
0.05,gamma_cvar,2028,325.0
0.05,gamma_cvar,2029,320.0
0.05,gamma_cvar,2030,329.0
0.05,gamma_cvar,2031,326.0
0.05,gamma_cvar,2032,323.0
0.05,gamma_cvar,2033,374.0
0.05,gamma_cvar,2034,321.0
0.05,gamma_cvar,2035,351.0
0.1,expected_max,2026,335.0
0.1,expected_max,2027,308.0
0.1,expected_max,2028,346.0
0.1,expected_max,2029,307.0
0.1,expected_max,2030,293.0
0.1,expected_max,2031,360.0
0.1,expected_max,2032,299.0
0.1,expected_max,2033,395.0
0.1,expected_max,2034,310.0
0.1,expected_max,2035,394.0
0.1,gamma_cvar,2026,335.0
0.1,gamma_cvar,2027,308.0
0.1,gamma_cvar,2028,348.0
0.1,gamma_cvar,2029,319.0
0.1,gamma_cvar,2030,293.0
0.1,gamma_cvar,2031,360.0
0.1,gamma_cvar,2032,311.0
0.1,gamma_cvar,2033,385.0
0.1,gamma_cvar,2034,310.0
0.1,gamma_cvar,2035,394.0
0.2,expected_max,2026,358.0
0.2,expected_max,2027,374.0
0.2,expected_max,2028,259.0
0.2,expected_max,2029,331.0
0.2,expected_max,2030,73.0
0.2,expected_max,2031,0.0
0.2,expected_max,2032,291.0
0.2,expected_max,2033,440.0
0.2,expected_max,2034,301.0
0.2,expected_max,2035,408.0
0.2,gamma_cvar,2026,344.0
0.2,gamma_cvar,2027,343.0
0.2,gamma_cvar,2028,259.0
0.2,gamma_cvar,2029,307.0
0.2,gamma_cvar,2030,73.0
0.2,gamma_cvar,2031,0.0
0.2,gamma_cvar,2032,256.0
0.2,gamma_cvar,2033,436.0
0.2,gamma_cvar,2034,301.0
0.2,gamma_cvar,2035,399.0
