load_state,demand_power_kw,strategy,current_a,is_on,online_stacks,stack_power_kw,tracking_error_kw,feasible
0,34.418237384606634,average,120;120;0,1;1;0,2,31.225071641246487,-3.1931657433601472,True
0,34.418237384606634,rotating,270;0;0,1;0;1,2,33.11086827816606,-1.307369106440575,True
0,34.418237384606634,instant_health,270;0;0,1;1;0,2,33.11086827816606,-1.307369106440575,True
0,34.418237384606634,beam_health,270;0;0,1;1;0,2,33.11086827816606,-1.307369106440575,True
1,48.66026664720248,average,0;195;195,0;1;1,2,48.82538810507261,0.16512145787013566,True
1,48.66026664720248,rotating,270;0;120,1;0;1,2,48.62512499674638,-0.035141650456097295,True
1,48.66026664720248,instant_health,270;120;0,1;1;0,2,48.70640134359331,0.04613469639083689,True
1,48.66026664720248,beam_health,270;120;0,1;1;0,2,48.70640134359331,0.04613469639083689,True
2,68.83647476921327,average,270;270;0,1;1;0,2,66.06688282648886,-2.7695919427244036,True
2,68.83647476921327,rotating,370;195;0,1;1;0,2,68.20178431266274,-0.6346904565505298,True
2,68.83647476921327,instant_health,370;195;0,1;1;0,2,68.20178431266274,-0.6346904565505298,True
2,68.83647476921327,beam_health,370;195;0,1;1;0,2,68.20178431266274,-0.6346904565505298,True
3,83.07850403180912,average,0;370;370,0;1;1,2,86.14693156614058,3.0684275343314624,True
3,83.07850403180912,rotating,370;0;370,1;0;1,2,86.43197977349801,3.3534757416888965,True
3,83.07850403180912,instant_health,370;370;0,1;1;0,2,87.09609993170307,4.017595899893948,True
3,83.07850403180912,beam_health,370;370;0,1;1;0,2,87.09609993170307,4.017595899893948,True
