health_fraction_of_lzw_late,damage_pct,current_a,cell_voltage_v,stack_power_kw,equivalent_power_loss_w,normalized_proxy
0.0,0.0,0.0,0.9249917395264976,0.0,0.0,0.0
0.0,0.0,25.0,0.8228719433166393,3.497205759095717,0.0,0.0
0.0,0.0,90.0,0.7785070332374525,11.911157608533022,0.0,0.0
0.0,0.0,120.0,0.7663693217602179,15.633934163908446,0.0,0.0
0.0,0.0,160.0,0.7527606896267157,20.47509075784667,0.0,0.0
0.0,0.0,195.0,0.7422279145549312,24.60485536749597,0.0,0.0
0.0,0.0,270.0,0.721782519444189,33.12981764248828,0.0,0.0
0.0,0.0,370.0,0.6951594346231205,43.725528437794274,0.0,0.0
0.25,2.3264583826388887,0.0,0.9174635079783293,0.0,0.0,0.0
0.25,2.3264583826388887,25.0,0.8223588858947839,3.4950252650528317,2.1804940428853117,0.001540253985871004
0.25,2.3264583826388887,90.0,0.7777896065467143,11.900180980164727,10.97662836829546,0.007753653650582833
0.25,2.3264583826388887,120.0,0.7654885687044318,15.615966801570409,17.967362338035507,0.01269175742398639
0.25,2.3264583826388887,160.0,0.7516510892709286,20.44490962816926,30.181129677409402,0.021319299374102697
0.25,2.3264583826388887,195.0,0.7409131055059222,24.56126944752132,43.585919974649904,0.03078815426616608
0.25,2.3264583826388887,270.0,0.7200201359319773,33.04892423927776,80.89340321051685,0.05714135616752167
0.25,2.3264583826388887,370.0,0.6927871238753901,43.57631009176203,149.21834603224002,0.10540462286111602
0.5,4.652916765277777,0.0,0.9130782171074069,0.0,0.0,0.0
0.5,4.652916765277777,25.0,0.8215829664972167,3.491727607613171,5.47815148254574,0.0038696481119623173
0.5,4.652916765277777,90.0,0.776334123489653,11.87791208939169,33.24551914133219,0.02348391803080977
0.5,4.652916765277777,120.0,0.7636735433655925,15.578940284658085,54.99387925035868,0.03884649077132512
0.5,4.652916765277777,160.0,0.7493492563947615,20.382299773937515,92.79098390915567,0.06554555069081953
0.5,4.652916765277777,195.0,0.7381819857134838,24.47073282640199,134.1225410939809,0.09474127168070294
0.5,4.652916765277777,270.0,0.7163638505834667,32.881100741781125,248.71690070715294,0.17568825694233942
0.5,4.652916765277777,370.0,0.6878884216011297,43.26818171871106,457.3467190832173,0.3230598631036953
0.75,6.979375147916667,0.0,0.9094285147199704,0.0,0.0,0.0
0.75,6.979375147916667,25.0,0.8205077902314206,3.4871581084835377,10.047650612179243,0.0070974437901100505
0.75,6.979375147916667,90.0,0.7742661383385419,11.84627191657969,64.88569195333315,0.04583385402185028
0.75,6.979375147916667,120.0,0.7611076104201004,15.526595252570049,107.3389113383957,0.07582189300973668
0.75,6.979375147916667,160.0,0.7461129406439773,20.294271985516183,180.81877233048598,0.1277264827716759
0.75,6.979375147916667,195.0,0.734356185203508,24.343907539496293,260.94782799967965,0.18432792031343698
0.75,6.979375147916667,270.0,0.7112702790076398,32.64730580645067,482.5118360376079,0.34083595922300436
0.75,6.979375147916667,370.0,0.6810967458340791,42.840985312963575,884.5431248307027,0.6248221948327253
1.0,9.305833530555555,0.0,0.9060952498103315,0.0,0.0,0.0
1.0,9.305833530555555,25.0,0.8191249692804735,3.4812811194420124,15.924639653704443,0.011248822155790601
1.0,9.305833530555555,90.0,0.7716295584398624,11.805932244129895,105.22536440312938,0.07432892901747476
1.0,9.305833530555555,120.0,0.7578562626076734,15.460267757196538,173.66640671190825,0.12267420588590935
1.0,9.305833530555555,160.0,0.7420360119027904,20.1833795237559,291.71123409076733,0.20605852719373213
1.0,9.305833530555555,195.0,0.7295542235544734,24.1847225108308,420.13285666517567,0.29677279292981973
1.0,9.305833530555555,270.0,0.7049104778595876,32.35539093375507,774.4267087332055,0.5470383323372472
1.0,9.305833530555555,370.0,0.6726527296671511,42.309856696063804,1415.6717417304753,0.9999999999999999
