month,month_date,matched_current_points,environment_adjusted_shift_pct
2025-08,2025-08-01,3,0.4903477343303758
2025-09,2025-09-01,3,-0.02828748356733647
2025-10,2025-10-01,3,-0.09264298765396514
2025-11,2025-11-01,3,5.684899459458868
2025-12,2025-12-01,3,0.5210450095349348
2026-01,2026-01-01,3,-0.03222546578812874
2026-02,2026-02-01,3,-0.6873252535260101
2026-03,2026-03-01,3,-0.06114602042175094
2026-04,2026-04-01,3,-0.2517886297290307
2026-05,2026-05-01,3,-0.2503828730471608
2026-06,2026-06-01,3,0.05883688564090777
