engine,scope,file,size_MB
三号发动机,three_day,三号发动机_20200817000000_20200817235959.xlsx,91.957144
三号发动机,three_day,三号发动机_20200818000000_20200818235959.xlsx,77.338153
三号发动机,three_day,三号发动机_20200819000000_20200819235959.xlsx,77.747519
三号发动机,one_day,三号发动机_20200817000000_20200817235959.xlsx,91.957144
四号发动机,three_day,四号发动机_20211225050000_20211225220000.xlsx,63.020268
四号发动机,three_day,四号发动机_20211226050000_20211226220000.xlsx,64.739312
四号发动机,three_day,四号发动机_20211227050000_20211227220000.xlsx,74.19356
四号发动机,one_day,四号发动机_20211227050000_20211227220000.xlsx,74.19356
五号发动机,three_day,五号发动机_20210911000000_20210911235959.xlsx,78.816029
五号发动机,three_day,五号发动机_20210912000000_20210912235959.xlsx,66.225724
五号发动机,three_day,五号发动机_20210913000000_20210913235959.xlsx,77.724722
五号发动机,one_day,五号发动机_20210911000000_20210911235959.xlsx,78.816029
